screenname;id;Case_0;Case_1_min;Case_2_min;Case_3_min;Case_4_min;Case_5_min;Case_1_prod;Case_2_prod;Case_3_prod;Case_4_prod;Case_5_prod
Santi_ABASCAL;1;1;2;2;3;3;2;2;2;3;3;1
madrid_vox;2;1;2;2;3;3;2;2;2;3;3;1
VOX_Europa_;3;1;2;2;3;3;2;2;2;3;3;1
TurismoAND;4;6;2;2;2;2;5;2;2;2;2;6
psoe_m;5;2;3;3;4;4;3;3;3;4;4;2
Ortega_Smith;6;1;2;2;3;3;2;2;2;3;3;1
radiocable;7;5;5;6;6;6;7;5;4;5;7;9
vox_es;8;1;2;2;3;3;2;2;2;3;3;1
olgarodriguezfr;9;14;1;1;1;1;10;1;1;1;8;11
Macarena_Olona;10;1;2;2;3;3;2;2;2;3;3;1
Jorgebuxade;11;1;2;2;3;3;2;2;2;3;3;1
hermanntertsch;12;1;2;2;3;3;2;2;2;3;3;1
ivanedlm;13;1;2;2;3;3;2;2;2;3;3;1
Cs_Andalucia;14;6;2;2;2;2;5;2;2;2;2;6
QuimMonzo;15;2;3;3;4;4;3;3;3;4;4;2
fjosealcaraz;16;1;2;2;3;3;2;2;2;3;3;1
MGutierrezCs;17;6;2;2;2;2;5;2;2;2;2;6
EmilioLarrosa;18;6;2;2;2;2;5;2;2;2;2;6
CiudadanosCs;19;6;2;2;2;2;5;2;2;2;2;6
Tonicanto1;20;6;2;2;2;2;5;2;2;2;2;6
Cs_Madrid;21;6;2;2;2;2;5;2;2;2;2;6
CiutadansCs;22;6;2;2;2;2;5;2;2;2;2;6
Lroldansu;23;6;2;2;2;2;5;2;2;2;2;6
Apixelados;24;7;2;2;2;2;4;2;2;2;2;4
VOX_Congreso;25;1;2;2;3;3;2;2;2;3;3;1
Desahogada;26;5;1;1;1;6;7;5;4;5;7;9
bbimbi;27;5;1;1;6;6;7;5;4;5;7;9
SimancasRafael;28;2;1;1;4;4;3;1;3;4;4;2
elisabeni;29;5;1;1;6;6;7;5;4;5;7;9
jmdelalamo;30;7;2;2;2;2;4;2;2;2;2;4
carlosbardem;31;3;1;1;1;1;1;1;1;1;1;3
AgustinRosety;32;1;2;2;3;3;2;2;2;3;3;1
fredhermel;33;10;2;2;2;2;4;2;2;2;2;4
beatrizbecerrab;34;12;2;2;2;2;4;2;2;2;2;4
CristinaNarbona;35;2;1;1;4;4;3;1;3;4;4;2
pgaguado;36;7;2;2;2;2;4;2;2;2;2;4
JRBauza;37;7;2;2;2;2;4;2;2;2;2;4
PODEMOS;38;8;1;1;1;5;6;1;1;1;5;7
mariadelamiel;39;7;2;2;2;2;4;2;2;2;2;4
psoedeandalucia;40;2;1;1;4;4;3;1;3;4;4;2
PSOE;41;2;1;1;4;4;3;1;3;4;4;2
desdelamoncloa;42;2;3;3;4;4;3;3;3;4;4;2
franciscopolo;43;2;3;3;4;4;3;3;3;4;4;2
EspanaGlobal;44;2;3;3;4;4;3;3;3;4;4;2
patxilopez;45;2;3;3;4;4;3;3;3;4;4;2
miqueliceta;46;2;3;3;4;4;3;3;3;4;4;2
carmencalvo_;47;2;1;1;4;4;3;1;3;4;4;2
BYCRAFTXXYT;48;7;2;2;2;2;4;2;2;2;2;4
ldpsincomplejos;49;1;2;2;3;3;2;2;2;3;3;1
M_Presidencia;50;2;3;3;4;4;3;3;3;4;4;2
alfredourdaci;51;10;2;2;2;2;4;2;2;2;2;4
CristinaSegui_;52;7;2;2;2;2;4;2;2;2;2;4
Igarrigavaz;53;1;2;2;3;3;2;2;2;3;3;1
FrayJosepho;54;10;2;2;2;2;4;2;2;2;2;4
GPPopular;55;9;2;2;2;7;9;2;2;2;6;10
agarzon;56;14;1;1;1;1;10;1;1;1;8;11
juanmalpr;57;8;1;1;1;1;6;1;1;1;1;7
_PabloFdez_;58;4;1;1;1;1;1;1;1;1;1;5
PaulaVazquezTV;59;8;1;1;1;5;6;1;1;1;5;7
pablocasado_;60;9;2;4;5;7;9;4;5;6;6;10
Miquel_R;61;4;1;1;1;1;1;1;1;1;1;5
AmarnaMiller;62;4;1;1;1;1;1;1;1;1;1;5
democraciareal;63;4;1;1;1;1;1;1;1;1;1;5
paulagonu;64;4;1;1;1;1;1;1;1;1;1;5
PabloIglesias;65;8;1;1;1;5;6;1;1;1;5;7
MauricioJaramil;66;4;1;1;1;1;1;1;1;1;1;5
MuyLiberal;67;10;2;2;2;2;4;2;2;2;2;4
sylkeka;68;4;1;1;1;1;1;1;1;1;1;5
dlacalle;69;10;2;2;2;2;4;2;2;2;2;4
RubenSanchezTW;70;4;1;1;1;1;1;1;1;1;1;5
InesArrimadas;71;6;2;2;2;2;5;2;2;2;2;6
davidenguita;72;10;4;4;5;2;4;4;5;6;2;4
clubdeviernes;73;7;2;2;3;3;2;2;2;3;3;1
carloscuestaEM;74;10;4;4;5;2;4;4;5;6;2;4
CarlaAntonelli;75;2;1;1;1;1;1;1;1;1;1;3
populares;76;9;2;4;5;7;9;4;5;6;6;10
ReneRamos;77;7;2;2;2;2;4;2;2;2;2;4
oscar_puente_;78;5;10;7;6;6;7;5;4;5;7;9
focusings;79;4;1;1;1;1;1;1;1;1;1;5
socialistes_cat;80;2;1;1;4;4;3;1;3;4;4;2
rosadiezglez;81;9;2;2;2;7;9;2;2;2;6;10
gpscongreso;82;2;3;1;4;4;3;1;3;4;4;2
demiguelch;83;5;1;1;1;1;1;1;1;1;1;8
revistamongolia;84;5;1;1;1;6;7;1;1;1;1;9
OskarMatute;85;5;1;1;1;6;7;1;1;1;1;9
partidolibertad;86;7;6;5;2;2;4;6;6;2;2;4
MariscalZabala;87;1;2;2;3;3;2;2;2;3;3;1
jespinosa24;88;10;2;2;2;2;4;2;2;2;2;4
ivanferreiro;89;4;1;1;1;1;1;1;1;1;1;5
podem_cat;90;8;1;1;1;5;6;1;1;1;5;7
sanchezdelreal;91;1;2;2;3;3;2;2;2;3;3;1
edithfebles;92;8;1;1;1;5;6;1;1;1;5;7
GUENGL;93;8;1;1;1;5;6;1;1;1;5;7
oierfano;94;1;2;2;3;3;2;2;2;3;3;1
NadiaCalvino;95;2;3;3;4;4;3;3;3;4;4;2
malaga;96;2;3;3;4;4;3;3;3;4;4;2
Teresaribera;97;2;3;3;4;4;3;3;3;4;4;2
dsn;98;2;3;3;4;4;3;3;3;4;4;2
educaciongob;99;2;3;3;4;4;3;3;3;4;4;2
_minecogob;100;2;3;3;4;4;3;3;3;4;4;2
mapagob;101;2;3;3;4;4;3;3;3;4;4;2
cantabriaes;102;2;3;3;4;4;3;3;3;4;4;2
JoseantonioJun;103;2;3;3;4;4;3;3;3;4;4;2
sanchezcastejon;104;2;3;3;4;4;3;3;3;4;4;2
AranchaGlezLaya;105;2;3;3;4;4;3;3;3;4;4;2
iescolar;106;5;1;1;6;6;7;5;4;5;7;9
manuelburque;107;5;1;1;1;1;1;1;1;1;1;8
sindolafuente;108;5;1;1;1;1;1;1;1;1;1;8
pnique;109;8;1;1;1;5;6;1;1;1;5;7
VSocialGob;110;8;1;1;1;5;6;1;1;1;5;7
PilarGGranja;111;3;7;8;7;8;11;7;7;7;9;8
martuniki;112;3;1;1;1;8;11;1;1;7;9;8
ionebelarra;113;8;1;1;1;5;6;1;1;1;5;7
DcaValle;114;8;1;1;1;5;6;1;1;1;5;7
iunida;115;4;1;1;1;1;1;1;1;1;1;5
