Original;RT
1;10
2;2
3;10
4;10
5;296
6;65
7;10
8;171
9;297
10;298
11;299
12;12
13;297
14;10
15;297
16;10
17;297
18;10
19;10
20;116
21;166
22;300
23;116
24;116
25;116
26;26
27;116
28;116
29;116
30;297
31;301
32;302
33;297
34;116
35;297
36;36
37;303
38;304
39;36
40;305
41;306
42;307
26;26
8;194
43;10
7;10
44;308
45;171
46;171
47;309
3;10
16;10
48;308
48;171
44;171
49;310
50;310
45;171
4;10
18;18
51;311
52;194
53;10
52;171
54;111
55;306
9;310
56;312
57;64
57;64
22;14
58;312
59;312
3;313
60;177
61;312
62;64
37;312
63;297
60;177
64;166
62;166
65;166
66;166
67;166
6;166
68;166
69;166
70;166
71;312
72;314
73;166
27;116
20;116
27;312
25;116
74;312
75;315
51;312
28;116
34;116
43;316
76;312
70;64
70;64
70;64
77;317
18;18
78;317
79;317
80;310
18;318
60;60
81;16
19;16
4;1
10;1
51;319
82;320
43;1
43;321
43;322
10;322
16;323
18;322
83;324
19;18
19;322
84;325
16;16
85;317
86;320
3;1
38;326
18;18
87;327
1;1
88;328
89;109
90;329
91;109
92;109
57;330
1;10
18;18
3;313
93;331
94;332
81;1
10;14
43;14
95;333
19;14
6;334
3;1
3;14
27;27
52;194
4;14
22;14
96;335
97;336
98;98
99;337
18;1
18;338
100;339
101;98
98;98
98;98
102;114
103;114
104;114
105;114
106;106
107;108
108;108
109;340
18;19
110;341
14;18
18;113
18;18
111;113
18;18
18;318
112;341
113;113
72;140
114;341
115;342
116;296
117;343
118;344
119;311
119;72
84;344
43;16
120;344
121;345
122;36
6;346
108;108
16;16
88;347
123;348
18;311
124;331
124;349
125;348
8;350
126;351
72;352
48;353
127;353
128;332
129;312
84;354
130;349
118;354
131;353
132;355
133;356
134;357
135;135
136;136
18;318
137;358
138;341
46;64
6;64
62;64
139;64
88;328
113;328
45;176
60;177
52;176
6;166
64;166
140;328
140;328
52;109
109;177
141;64
60;329
125;359
142;360
143;360
144;359
145;360
44;360
146;359
14;361
147;362
18;363
24;361
125;364
148;314
62;165
6;64
127;64
149;354
76;365
84;365
144;364
104;366
150;366
151;60
56;367
152;368
1;344
153;60
154;369
155;60
84;314
156;314
10;370
157;65
158;65
159;65
160;65
161;65
162;65
6;65
73;65
163;65
164;65
165;65
69;65
166;65
43;370
167;371
18;372
168;373
169;373
96;374
170;65
171;308
172;375
43;370
173;142
72;376
140;376
52;142
43;18
171;142
174;142
18;376
175;377
144;378
3;379
122;36
39;36
6;380
144;378
141;64
43;381
10;381
14;381
19;381
1;381
9;382
176;109
60;109
177;109
178;383
179;383
151;109
180;109
181;382
98;384
149;113
60;176
182;176
60;385
60;109
19;14
183;386
184;386
185;386
177;109
43;300
14;300
22;300
186;387
187;387
188;387
14;72
152;72
152;354
113;354
189;388
1;72
51;303
51;362
74;354
51;354
190;388
191;389
192;390
193;94
194;391
27;354
128;94
88;94
195;94
196;391
197;387
198;392
114;388
57;393
199;91
27;394
166;65
149;354
6;65
76;394
114;388
74;354
27;395
200;396
201;396
187;397
43;398
152;398
10;398
18;398
19;398
81;398
16;398
202;399
203;400
204;205
205;220
194;391
89;401
52;401
206;308
207;391
14;72
208;402
209;391
6;402
202;402
94;193
128;193
210;403
127;402
211;400
6;202
212;402
213;402
11;401
142;404
214;391
194;391
52;405
215;406
216;407
127;407
104;407
213;407
217;407
208;408
52;407
6;380
218;406
193;94
127;380
16;14
43;14
10;14
22;14
94;193
128;193
19;14
152;14
219;380
142;205
220;205
208;205
3;14
43;379
81;43
152;43
10;43
4;43
221;409
43;43
222;410
60;176
199;388
223;411
25;27
66;166
64;166
141;166
6;166
20;412
224;166
225;412
25;412
226;412
227;166
228;332
229;332
43;152
118;332
230;412
27;27
231;413
29;27
232;414
10;43
27;27
3;43
19;43
43;43
43;43
128;347
233;347
88;347
14;43
234;176
208;415
213;416
52;217
235;416
52;417
90;60
104;416
128;229
236;418
57;418
237;229
206;166
9;419
181;419
73;166
50;419
238;166
239;166
240;419
72;420
18;314
72;421
18;422
241;421
18;421
10;81
242;421
237;81
43;81
53;81
243;244
244;244
81;81
245;421
194;423
246;205
208;424
247;424
248;423
48;423
206;205
249;334
250;1
10;1
43;1
251;334
252;224
6;224
18;1
4;1
253;334
64;224
139;224
254;334
196;334
255;224
1;1
99;425
256;426
56;427
52;248
48;427
6;166
73;166
64;166
196;427
257;427
144;428
254;248
156;429
3;43
16;43
102;430
86;320
258;320
18;195
142;431
259;431
6;431
179;431
248;431
260;431
52;432
216;431
234;431
261;329
139;64
69;64
262;329
57;64
6;64
46;64
263;433
49;433
264;64
265;433
266;434
109;329
224;64
267;433
9;433
268;433
35;433
269;270
90;114
142;114
270;114
270;114
271;270
270;114
114;114
177;109
235;408
52;435
262;109
114;114
102;114
272;436
52;437
273;438
50;439
274;439
263;439
275;436
276;439
277;440
278;439
181;439
279;441
27;442
115;439
280;408
281;408
52;408
282;408
283;443
219;46
284;444
104;445
10;314
66;166
65;166
73;166
238;166
285;166
6;166
286;446
287;446
288;114
281;408
289;408
282;408
114;114
104;114
52;447
290;448
290;449
60;450
27;27
291;451
292;451
19;452
64;224
166;224
293;453
294;453
295;453
6;454
52;109
151;109
60;109
208;280
