USER;ID;\nu_{T_A};\nu_{T_B}
Santi_ABASCAL;1;0.8528;0.1418
madrid_vox;3;0.6365;0.3495
VOX_Europa_;4;0.9064;0.0821
TurismoAND;5;0.8493;0.1847
psoe_m;6;0.4092;0.5941
Ortega_Smith;7;0.7168;0.1892
radiocable;8;0.5518;0.4399
vox_es;10;0.7646;0.2357
olgarodriguezfr;11;0.4428;0.5476
Macarena_Olona;14;0.8378;0.1603
Jorgebuxade;16;0.6694;0.3229
hermanntertsch;18;0.8701;0.127
ivanedlm;19;0.8859;0.1122
Cs_Andalucia;20;0.6084;0.3847
QuimMonzo;21;0.8267;0.1638
fjosealcaraz;22;0.905;0.1009
MGutierrezCs;23;0.7814;0.0846
EmilioLarrosa;24;0.475;0.5279
CiudadanosCs;25;0.7617;0.2356
Tonicanto1;27;0.7927;0.2101
Cs_Madrid;28;0.7322;0.2079
CiutadansCs;29;0.2307;0.7585
Lroldansu;34;0.7322;0.2079
Apixelados;37;0.8592;0.0719
VOX_Congreso;43;0.7383;0.2614
Desahogada;44;0.5111;0.6008
bbimbi;45;0.5184;0.5376
SimancasRafael;46;0.0707;0.9281
elisabeni;48;0.4933;0.5283
jmdelalamo;51;0.6325;0.3684
carlosbardem;52;0.1071;0.8924
AgustinRosety;53;0.9281;0.0641
fredhermel;54;0.9144;0.1562
beatrizbecerrab;56;0.9198;0.0802
CristinaNarbona;57;0.187;0.8081
pgaguado;58;0.9472;0.0535
JRBauza;59;0.9472;0.0535
PODEMOS;60;0.4492;0.5555
mariadelamiel;61;0.9472;0.0535
psoedeandalucia;62;0.2899;0.7422
PSOE;64;0.4766;0.5333
desdelamoncloa;65;0.3894;0.7172
franciscopolo;66;0.7288;0.2958
EspanaGlobal;67;0.8388;0.4643
patxilopez;68;0.8388;0.4643
miqueliceta;69;0.3713;0.6389
carmencalvo_;70;0.7105;0.3133
BYCRAFTXXYT;71;0.9472;0.0535
ldpsincomplejos;72;0.6342;0.3659
M_Presidencia;73;0.5992;0.4123
alfredourdaci;74;0.8339;0.1661
CristinaSegui_;76;0.9269;0.0716
Igarrigavaz;81;0.8047;0.1995
FrayJosepho;84;0.9093;0.0888
GPPopular;88;0.9173;0.0846
agarzon;89;0.2779;0.6385
juanmalpr;90;0.1171;0.8911
_PabloFdez_;91;0.309;0.4834
PaulaVazquezTV;92;0.309;0.4834
pablocasado_;94;0.5264;0.4825
Miquel_R;102;0.0922;0.9063
AmarnaMiller;103;0.5523;0.4823
democraciareal;104;0.0814;0.9197
paulagonu;105;0.5523;0.4823
PabloIglesias;109;0.1226;0.873
MauricioJaramil;110;0.4597;0.6725
MuyLiberal;111;0.6433;0.2598
sylkeka;112;0.4597;0.6725
dlacalle;113;0.8674;0.1238
RubenSanchezTW;114;0.0837;0.9136
InesArrimadas;116;0.9521;0.0548
davidenguita;118;0.2774;0.7161
clubdeviernes;119;0.9074;0.1378
carloscuestaEM;120;0.938;0.0577
CarlaAntonelli;127;0.168;0.8264
populares;128;0.5982;0.4006
ReneRamos;129;0.7207;0.3803
oscar_puente_;131;0.939;0.065
focusings;138;0.3881;0.6725
socialistes_cat;139;0.1857;0.814
rosadiezglez;140;0.7905;0.2095
